step 0
step 1
0 1319.3950286493862 892.747863574352
step 2
0 1317.2582000112004 892.5830783107536
1 1135.371190655614 889.3052675207234
2 1108.2834638142922 977.2776558944014
step 3
0 1313.718315795527 892.3100939716435
1 1135.2164579250475 891.3290288847561
2 1105.9143767567225 977.1042342240683
3 869.3520614663367 969.7267170204453
4 824.6818108722767 1367.3000804049566
5 1120.2710183071715 1086.595224081857
step 4
0 1308.647065986121 891.9190157065538
1 1131.722725391331 895.0601743716854
2 1101.660086347592 976.7928120893363
3 869.2427928222738 971.2373461628247
4 824.8203915193925 1365.6762249018013
5 1120.1610593857451 1088.032735835137
6 652.6698107457336 1228.1155596996382
7 1093.1845811990377 1174.136385417933
8 1376.5186455696203 1108.283848101266
step 5
0 1301.9551497385025 891.4029569252668
1 1131.3096802708526 900.4617430147789
10 1069.9775316294592 864.1861404472892
11 985.7363790915533 868.4298011113987
2 1095.3389473463844 976.3300927137459
3 868.9761781695555 974.9232696739616
4 825.0780637220464 1362.4174293976484
5 1116.733441353723 1090.8891569366942
6 654.6547325533253 1228.2900646133032
7 1091.203261881663 1173.983478839783
8 1376.232243882473 1110.656112973476
9 1347.3757918723888 805.6706304595518
step 6
0 1293.804269839632 890.7743876199464
1 1130.713842762822 908.2537663076099
10 1071.8678691599314 867.5287373033589
11 984.3632568772816 868.3190034700418
12 676.3442122085473 934.2002653552152
13 1280.4494013548701 1200.2859767638595
14 1135.371190655614 889.3052675207234
2 1087.5158709166433 975.757428666954
3 868.532756669172 981.0535318967712
4 825.472085437156 1357.434213588909
5 1116.297796846736 1096.5844119548656
6 658.4814559334147 1228.6275925850864
7 1087.732939975277 1173.7156597945982
8 1372.6136475060546 1113.9786525422094
9 1347.1828156020129 807.8777965519785
step 7
0 1285.4797815912652 890.1324302042632
1 1130.1505173244566 915.6206152857712
10 1076.1884479059224 867.8396815391538
11 980.4794785261934 868.0056202355557
12 678.0530319727808 934.33479580396
13 1280.2946764779658 1202.3006461400537
14 1135.176107292432 891.8567779330843
15 874.434757635192 1047.6372541328103
16 664.5315356534437 822.7699294232174
17 1130.6892270374456 1412.4583611192036
